Session Date,Session Type,Court Name,Match Order,Not Before,Match Code,Team1-Player1 Surname,Team1-Player1 FirstName,Team1-Player1 Nationality,Team1-Player2 Surname,Team1-Player2 FirstName,Team1-Player2 Nationality,Team2-Player1 Surname,Team2-Player1 FirstName,Team2-Player1 Nationality,Team2-Player2 Surname,Team2-Player2 FirstName,Team2-Player2 Nationality,Team1 Seed,Team2 Seed
13/02/2021,Day Session,Rod Laver Arena,1,,WS304,Muchova,Karolina,CZE,,,,Pliskova,Karolina,CZE,,,,25,6
13/02/2021,Day Session,Rod Laver Arena,2,,MS312,Krajinovic,Filip,SRB,,,,Medvedev,Daniil,RUS,,,,28,4
13/02/2021,Day Session,Rod Laver Arena,3,,WS303,Bencic,Belinda,SUI,,,,Mertens,Elise,BEL,,,,11,18
13/02/2021,Night Session,Rod Laver Arena,1,,WS302,Kontaveit,Anett,EST,,,,Rogers,Shelby,USA,,,,21,0
13/02/2021,Night Session,Rod Laver Arena,2,,MS316,Norrie,Cameron,GBR,,,,Nadal,Rafael,ESP,,,,0,2
13/02/2021,Day Session,Margaret Court Arena,1,,WS308,Putintseva,Yulia,KAZ,,,,Svitolina,Elina,UKR,,,,26,5
13/02/2021,Day Session,Margaret Court Arena,2,,WS305,Kanepi,Kaia,EST,,,,Vekic,Donna,CRO,,,,0,28
13/02/2021,Day Session,Margaret Court Arena,3,,MS309,Rublev,Andrey,RUS,,,,Lopez,Feliciano,ESP,,,,7,0
13/02/2021,Night Session,Margaret Court Arena,1,,WS301,Barty,Ashleigh,AUS,,,,Alexandrova,Ekaterina,RUS,,,,1,29
13/02/2021,Night Session,Margaret Court Arena,2,,MS315,Fognini,Fabio,ITA,,,,de Minaur,Alex,AUS,,,,16,21
13/02/2021,Day Session,John Cain Arena,1,,WS307,Pegula,Jessica,USA,,,,Mladenovic,Kristina,FRA,,,,0,0
13/02/2021,Day Session,John Cain Arena,2,,WS306,Brady,Jennifer,USA,,,,Juvan,Kaja,SLO,,,,22,0
13/02/2021,Day Session,John Cain Arena,3,,MS313,Tsitsipas,Stefanos,GRE,,,,Ymer,Mikael,SWE,,,,5,0
13/02/2021,Day Session,John Cain Arena,4,17:00,MS314,Khachanov,Karen,RUS,,,,Berrettini,Matteo,ITA,,,,19,9
13/02/2021,Day Session,1573 Arena,1,,WD206,Rus,Arantxa,NED,Tamara,Zidansek,SLO,Pera,Bernarda,USA,Rosalie,Van Der Hoek,NED,0,0
13/02/2021,Day Session,1573 Arena,2,,MS310,Ruud,Casper,NOR,,,,Albot,Radu,MDA,,,,24,0
13/02/2021,Day Session,1573 Arena,3,,MD206,Daniell,Marcus,NZL,Philipp,Oswald,AUT,Koepfer,Dominik,GER,Tennys,Sandgren,USA,0,0
13/02/2021,Day Session,1573 Arena,4,,MD209,Melo,Marcelo,BRA,Horia,Tecau,ROU,Albot,Radu,MDA,Daniel,Evans,GBR,7,0
13/02/2021,Day Session,Court 3,1,,XD114,Perez,Ellen,AUS,Andrew,Harris,AUS,Muhammad,Asia,USA,Luke,Saville,AUS,0,0
13/02/2021,Day Session,Court 3,2,,MS311,Harris,Lloyd,RSA,,,,McDonald,Mackenzie,USA,,,,0,0
13/02/2021,Day Session,Court 3,3,,MD215,Skupski,Ken,GBR,Neal,Skupski,GBR,Millman,John,AUS,Thiago,Monteiro,BRA,16,0
13/02/2021,Day Session,Court 3,4,,MD123,Kokkinakis,Thanasi,AUS,Nick,Kyrgios,AUS,Harris,Lloyd,RSA,Julian,Knowle,AUT,0,0
13/02/2021,Day Session,Court 7,1,,WD202,Bolsova,Aliona,ESP,Jasmine,Paolini,ITA,Flipkens,Kirsten,BEL,Andreja,Klepac,SLO,0,14
13/02/2021,Day Session,Court 7,2,,WD201,Hsieh,Su-Wei,TPE,Barbora,Strycova,CZE,Jurak,Darija,CRO,Nina,Stojanovic,SRB,1,0
13/02/2021,Day Session,Court 7,3,14:30,MD205,Monroe,Nicholas,USA,Frances,Tiafoe,USA,Pospisil,Vasek,CAN,Denis,Shapovalov,CAN,0,0
13/02/2021,Day Session,Court 7,4,,WD210,Rodionova,Arina,AUS,Storm,Sanders,AUS,Guarachi,Alexa,CHI,Desirae,Krawczyk,USA,0,9
13/02/2021,Day Session,Court 8,1,,MD201,Cabal,Juan Sebastian,COL,Robert,Farah,COL,Bublik,Alexander,KAZ,Andrey,Golubev,KAZ,1,0
13/02/2021,Day Session,Court 8,2,,WD215,Siegemund,Laura,GER,Vera,Zvonareva,RUS,Bondarenko,Kateryna,UKR,Nadiia,Kichenok,UKR,16,0
13/02/2021,Day Session,Court 8,3,,MD210,Bambridge,Luke,GBR,Dominic,Inglot,GBR,Dodig,Ivan,CRO,Filip,Polasek,SVK,0,9
13/02/2021,Day Session,Court 13,1,,WD211,Kichenok,Lyudmyla,UKR,Jelena,Ostapenko,LAT,Mitu,Andreea,ROU,Raluca,Olaru,ROU,13,0
13/02/2021,Day Session,Court 13,2,,XD111,Mattek-Sands,Bethanie,USA,Jamie,Murray,GBR,Duan,Yingying,CHN,Rohan,Bopanna,IND,0,0
13/02/2021,Day Session,Court 13,3,15:30,XD102,Swiatek,Iga,POL,Lukasz,Kubot,POL,Sharma,Astra,AUS,John-Patrick,Smith,AUS,0,0
13/02/2021,Day Session,Court 17,1,,XD112,Popovic,Ivana,AUS,Aleksandar,Vukic,AUS,Dabrowski,Gabriela,CAN,Mate,Pavic,CRO,0,3
13/02/2021,Day Session,Court 17,2,,WD212,Lapko,Vera,BLR,Marketa,Vondrousova,CZE,Melichar,Nicole,USA,Demi,Schuurs,NED,0,4
13/02/2021,Day Session,Court 17,3,15:30,MD208,Ram,Rajeev,USA,,,,Salisbury,Joe,GBR,,,,5,5
